timestamp,cpu_energy_kwh,gpu_energy_kwh,total_energy_kwh,tasks_scheduled,sla_violations,avg_sla_slack,cluster_cpu_util,cluster_gpu_util
0.0,0.000000,0.000000,0.000000,1,0,0.00,0.1875,0.0125
427061.0,151.695626,348.766483,500.462109,2,0,0.00,0.2813,0.0250
1558381.0,570.048334,1357.526817,1927.575151,3,0,0.00,0.4688,0.0375
2690044.0,996.779591,2451.467717,3448.247307,4,0,0.00,0.5625,0.0500
2758084.0,1023.428591,2522.342717,3545.771307,5,0,0.00,0.7500,0.0625
2759674.0,1024.082257,2523.998967,3548.081224,6,0,0.00,1.0625,0.0625
3019330.0,1130.829724,2813.948167,3944.777891,7,0,0.00,1.1250,0.0750
3019932.0,1131.077213,2814.665550,3945.742763,8,0,0.00,1.3125,0.0875
4130198.0,1587.519902,4221.002483,5808.522385,9,0,0.00,1.5000,0.1000
4975773.0,1947.476482,5355.482275,7302.958757,10,0,0.00,0.8438,0.1125
5182092.0,2039.317092,5647.767525,7687.084617,11,0,0.00,0.9688,0.1250
6394537.0,2587.864257,7456.331317,10044.195574,12,0,0.00,1.0156,0.1375
6588193.0,2677.362915,7759.725717,10437.088632,13,0,0.00,1.0781,0.1500
6976821.0,2860.746753,8397.723350,11258.470103,14,0,0.00,1.1406,0.1625
8387257.0,3550.293242,10818.971817,14369.265058,15,0,0.00,1.2656,0.1750
8396307.0,3554.717686,10835.186400,14389.904086,16,0,0.00,1.3906,0.1875
8962274.0,3831.412664,11849.210608,15680.623272,17,0,0.00,1.6406,0.1875
9437497.0,4063.743908,12700.651817,16764.395725,18,0,0.00,2.3281,0.1875
9476974.0,4083.043775,12774.342217,16857.385992,19,0,0.00,2.3750,0.2000
9664050.0,4176.321947,13137.581450,17313.903397,20,0,0.00,1.6250,0.2125
9664123.0,4176.359056,13137.728667,17314.087722,21,0,0.00,1.6667,0.2250
9671707.0,4180.287989,13153.591867,17333.879856,22,0,0.00,1.7083,0.2375
9679175.0,4184.193131,13169.772533,17353.965664,23,0,0.00,1.7292,0.2500
9766837.0,4231.311456,13366.281517,17597.592972,24,0,0.00,1.7917,0.2625
9818766.0,4260.233024,13486.583700,17746.816724,25,0,0.00,1.8750,0.2750
9823530.0,4262.909465,13497.977600,17760.887065,26,0,0.00,1.8958,0.2875
9924220.0,4319.967132,13746.346267,18066.313399,27,0,0.00,1.9792,0.3000
9941376.0,4329.709715,13789.951100,18119.660815,28,0,0.00,1.4883,0.3125
9949982.0,4334.764245,13812.470133,18147.234379,29,0,0.00,1.5508,0.3250
9955274.0,4337.898102,13826.714433,18164.612535,30,0,0.00,1.5664,0.3375
9957349.0,4339.167238,13832.455267,18171.622505,31,0,0.00,1.6289,0.3500
9961302.0,4341.661883,13843.688375,18185.350258,32,0,0.00,1.6914,0.3625
9963454.0,4343.035651,13849.965042,18193.000693,33,0,0.00,1.7148,0.3750
9965463.0,4344.325457,13855.975300,18200.300757,34,0,0.00,1.7266,0.3875
9965619.0,4344.425990,13856.453700,18200.879690,35,0,0.00,1.7891,0.4000
9967058.0,4345.381326,13860.974558,18206.355885,36,0,0.00,1.4813,0.4125
9967204.0,4345.478786,13861.444192,18206.922978,37,0,0.00,1.4906,0.4250
9970479.0,4347.728643,13872.224400,18219.953043,38,0,0.00,1.5406,0.4375
9973579.0,4349.873348,13882.661067,18232.534415,39,0,0.00,1.5531,0.4500
9973948.0,4350.130431,13883.931042,18234.061473,40,0,0.00,1.5656,0.4625
9974338.0,4350.405936,13885.302542,18235.708478,41,0,0.00,1.5906,0.4750
9976185.0,4351.717434,13891.936350,18243.653784,42,0,0.00,1.6000,0.4875
9977555.0,4352.695224,13896.959683,18249.654908,43,0,0.00,1.6094,0.5000
9980855.0,4355.074547,13909.307183,18264.381731,44,0,0.00,1.3568,0.5125
9983856.0,4357.249230,13920.761000,18278.010230,45,0,0.00,1.3646,0.5250
9985207.0,4358.233162,13926.018642,18284.251803,46,0,0.00,1.3724,0.5375
9989432.0,4361.325627,13942.777808,18304.103435,47,0,0.00,1.3802,0.5500
9989615.0,4361.460240,13943.517433,18304.977673,48,0,0.00,1.3880,0.5625
9992086.0,4363.277884,13953.504392,18316.782275,49,0,0.00,1.4089,0.5625
9992086.0,4363.277884,13953.504392,18316.782275,50,0,0.00,1.4297,0.5625
9992104.0,4363.291124,13953.577142,18316.868266,51,0,0.00,1.4505,0.5625
9993395.0,4364.247047,13958.891758,18323.138805,52,0,0.00,1.4609,0.5750
9993396.0,4364.247792,13958.895950,18323.143742,53,0,0.00,1.4714,0.5875
9993753.0,4364.519075,13960.419150,18324.938225,54,0,0.00,1.5026,0.6000
9997763.0,4367.585750,13977.829233,18345.414984,55,0,0.00,1.2969,0.6125
9999611.0,4369.005759,13985.991233,18354.996992,56,0,0.00,1.3036,0.6250
9999740.0,4369.106764,13986.570658,18355.677422,57,0,0.00,1.3304,0.6375
9999867.0,4369.206666,13987.150625,18356.357291,58,0,0.00,1.3371,0.6500
10000483.0,4369.697220,13990.009892,18359.707112,59,0,0.00,1.3549,0.6625
10000836.0,4369.983052,13991.674875,18361.657927,60,0,0.00,1.3795,0.6750
10000884.0,4370.021919,13991.901275,18361.923194,61,0,0.00,1.3973,0.6750
10001573.0,4370.582330,13995.202733,18365.785063,62,0,0.00,1.4040,0.6875
10001854.0,4370.814984,13996.570267,18367.385251,63,0,0.00,1.4308,0.7000
10002519.0,4371.378502,13999.856475,18371.234977,64,0,0.00,1.2832,0.7125
10002813.0,4371.631924,14001.331375,18372.963299,65,0,0.00,1.3066,0.7250
10003114.0,4371.895769,14002.863967,18374.759736,66,0,0.00,1.3301,0.7375
10004799.0,4373.380968,14011.569800,18384.950768,67,0,0.00,1.3379,0.7500
10005625.0,4374.112035,14015.899417,18390.011452,68,0,0.00,1.3438,0.7625
10008375.0,4376.556002,14030.520250,18407.076252,69,0,0.00,1.3496,0.7750
10009087.0,4377.191364,14034.359117,18411.550480,70,0,0.00,1.3555,0.7875
